geo_code,geo_level,geo_version,name,variable,value
525,district,,Amajuba,2011,3.1
212,district,,Amathole,2011,1.6
637,district,,Bojanalam,2011,14.9
292,district,,Buffalo City,2011,38.1
102,district,,Cape Winelands,2011,10.9
935,district,,Capricorn,2011,2.2
105,district,,Central Karoo,2011,5.9
213,district,,Chris Hani,2011,9.4
191,district,,City of Cape Town,2011,20.3
798,district,,City of Johannesburg,2011,12.2
799,district,,City of Tshwane,2011,35.2
640,district,,Dr Kenneth Kaunda,2011,21.4
639,district,,Dr Ruth Segomotsi Mompati,2011,1.7
EC,province,,Eastern Cape,2011,10.1
832,district,,Ehlanzeni,2011,6.4
797,district,,Ekurhuleni,2011,29.5
595,district,,eThekwini,2011,11.8
420,district,,Fezile Dabi,2011,39.2
309,district,,Frances Baard,2011,15.9
FS,province,,Free State,2011,18
3453,district,,Garden Route,2011,16.4
GT,province,,Gauteng,2011,21.8
830,district,,Gert Sibande,2011,19.3
3065,district,,Harry Gwala,2011,15.8
529,district,,iLembe,2011,4.6
214,district,,Joe Gqabi,2011,2.6
345,district,,John Taolo Gaetsewe,2011,6.8
3084,district,,King Cetshwayo,2011,0.6
KZN,province,,KwaZulu-Natal,2011,9
418,district,,Lejweleputswa,2011,5.1
LIM,province,,Limpopo,2011,7.2
494,district,,Mangaung,2011,23.4
933,district,,Mopani,2011,2.9
MP,province,,Mpumalanga,2011,14.5
306,district,,Namakwa,2011,5.9
293,district,,Nelson Mandela Bay,2011,19
638,district,,Ngaka Modiri Molema,2011,3.1
831,district,,Nkangala,2011,20.8
NW,province,,North West,2011,10.4
NC,province,,Northern Cape,2011,14
215,district,,O.R.Tambo,2011,4.4
103,district,,Overberg,2011,35.1
307,district,,Pixley ka Seme,2011,28.8
1014,district,,Sarah Baartman,2011,10.2
742,district,,Sedibeng,2011,12.9
947,district,,Sekhukhune,2011,13.4
ZA,country,,South Africa,2011,14.2
9361,district,,Thabo Mofutsanyana,2011,7.7
521,district,,Ugu,2011,4.1
522,district,,Umgungundlovu,2011,25
527,district,,Umkhanyakude,2011,3
524,district,,Umzinyathi,2011,7.5
523,district,,Uthukela,2011,1.1
934,district,,Vhembe,2011,8.8
936,district,,Waterberg,2011,10.7
101,district,,West Coast,2011,32.9
748,district,,West Rand,2011,21.3
WC,province,,Western Cape,2011,19.8
416,district,,Xhariep,2011,4.1
308,district,,Z F Mgcawu,2011,13.8
526,district,,Zululand,2011,5.9
244,district,,Alfred Nzo,2012,1.2
525,district,,Amajuba,2012,3
212,district,,Amathole,2012,2.9
637,district,,Bojanalam,2012,18.3
292,district,,Buffalo City,2012,31.1
102,district,,Cape Winelands,2012,10.5
935,district,,Capricorn,2012,6
105,district,,Central Karoo,2012,13.2
213,district,,Chris Hani,2012,13.8
191,district,,City of Cape Town,2012,18.4
798,district,,City of Johannesburg,2012,11.9
799,district,,City of Tshwane,2012,36.8
640,district,,Dr Kenneth Kaunda,2012,28.4
639,district,,Dr Ruth Segomotsi Mompati,2012,3.1
EC,province,,Eastern Cape,2012,7.3
832,district,,Ehlanzeni,2012,5.6
797,district,,Ekurhuleni,2012,28.6
595,district,,eThekwini,2012,11.5
420,district,,Fezile Dabi,2012,20.3
309,district,,Frances Baard,2012,21.3
FS,province,,Free State,2012,16.4
3453,district,,Garden Route,2012,18.9
GT,province,,Gauteng,2012,20.9
830,district,,Gert Sibande,2012,19.7
3065,district,,Harry Gwala,2012,9.2
529,district,,iLembe,2012,4.9
214,district,,Joe Gqabi,2012,3.5
345,district,,John Taolo Gaetsewe,2012,21.3
3084,district,,King Cetshwayo,2012,0.7
KZN,province,,KwaZulu-Natal,2012,9.1
418,district,,Lejweleputswa,2012,8.7
LIM,province,,Limpopo,2012,8.1
494,district,,Mangaung,2012,31.7
933,district,,Mopani,2012,4.6
MP,province,,Mpumalanga,2012,13
306,district,,Namakwa,2012,8.7
293,district,,Nelson Mandela Bay,2012,8.9
638,district,,Ngaka Modiri Molema,2012,9.2
831,district,,Nkangala,2012,18
NW,province,,North West,2012,14.4
NC,province,,Northern Cape,2012,18.8
215,district,,O.R.Tambo,2012,2.3
103,district,,Overberg,2012,30.8
307,district,,Pixley ka Seme,2012,18.3
1014,district,,Sarah Baartman,2012,8
742,district,,Sedibeng,2012,7.4
947,district,,Sekhukhune,2012,8.8
ZA,country,,South Africa,2012,13.9
9361,district,,Thabo Mofutsanyana,2012,10.2
521,district,,Ugu,2012,4
522,district,,Umgungundlovu,2012,24.4
527,district,,Umkhanyakude,2012,1.6
524,district,,Umzinyathi,2012,13.9
523,district,,Uthukela,2012,0.7
934,district,,Vhembe,2012,12.9
936,district,,Waterberg,2012,10.3
101,district,,West Coast,2012,32.7
748,district,,West Rand,2012,23.7
WC,province,,Western Cape,2012,19
416,district,,Xhariep,2012,5.2
308,district,,Z F Mgcawu,2012,18.8
526,district,,Zululand,2012,6.2
244,district,,Alfred Nzo,2014,3.4
525,district,,Amajuba,2014,3.5
212,district,,Amathole,2014,6
637,district,,Bojanalam,2014,25.6
292,district,,Buffalo City,2014,26.6
102,district,,Cape Winelands,2014,16
935,district,,Capricorn,2014,4.6
105,district,,Central Karoo,2014,20.4
213,district,,Chris Hani,2014,10.9
191,district,,City of Cape Town,2014,16.3
798,district,,City of Johannesburg,2014,16.5
799,district,,City of Tshwane,2014,31.2
640,district,,Dr Kenneth Kaunda,2014,19.8
639,district,,Dr Ruth Segomotsi Mompati,2014,2.2
EC,province,,Eastern Cape,2014,8.7
832,district,,Ehlanzeni,2014,5
797,district,,Ekurhuleni,2014,21.5
595,district,,eThekwini,2014,13.1
420,district,,Fezile Dabi,2014,28.7
309,district,,Frances Baard,2014,13.3
FS,province,,Free State,2014,16.5
3453,district,,Garden Route,2014,34.4
GT,province,,Gauteng,2014,20.3
830,district,,Gert Sibande,2014,14.4
3065,district,,Harry Gwala,2014,8.3
529,district,,iLembe,2014,8.8
214,district,,Joe Gqabi,2014,6.1
345,district,,John Taolo Gaetsewe,2014,8.1
3084,district,,King Cetshwayo,2014,11.5
KZN,province,,KwaZulu-Natal,2014,10
418,district,,Lejweleputswa,2014,6.4
LIM,province,,Limpopo,2014,12
494,district,,Mangaung,2014,29.3
933,district,,Mopani,2014,6.4
MP,province,,Mpumalanga,2014,11.4
306,district,,Namakwa,2014,6.1
293,district,,Nelson Mandela Bay,2014,15.8
638,district,,Ngaka Modiri Molema,2014,9
831,district,,Nkangala,2014,16.8
NW,province,,North West,2014,16.2
NC,province,,Northern Cape,2014,13.6
215,district,,O.R.Tambo,2014,4.2
103,district,,Overberg,2014,26.2
307,district,,Pixley ka Seme,2014,38.3
1014,district,,Sarah Baartman,2014,4.2
742,district,,Sedibeng,2014,15.3
947,district,,Sekhukhune,2014,20
ZA,country,,South Africa,2014,14.5
9361,district,,Thabo Mofutsanyana,2014,8.7
521,district,,Ugu,2014,4.7
522,district,,Umgungundlovu,2014,17.5
527,district,,Umkhanyakude,2014,1.7
524,district,,Umzinyathi,2014,7.4
523,district,,Uthukela,2014,1.3
934,district,,Vhembe,2014,13.1
936,district,,Waterberg,2014,17.6
101,district,,West Coast,2014,20.2
748,district,,West Rand,2014,16.3
WC,province,,Western Cape,2014,19.3
416,district,,Xhariep,2014,3.8
308,district,,Z F Mgcawu,2014,10
526,district,,Zululand,2014,6.3
244,district,,Alfred Nzo,2015,3.5
525,district,,Amajuba,2015,9.4
212,district,,Amathole,2015,8.7
637,district,,Bojanalam,2015,13.1
292,district,,Buffalo City,2015,24.6
102,district,,Cape Winelands,2015,25.2
935,district,,Capricorn,2015,6.6
105,district,,Central Karoo,2015,12.7
213,district,,Chris Hani,2015,5.9
191,district,,City of Cape Town,2015,28
798,district,,City of Johannesburg,2015,33
799,district,,City of Tshwane,2015,33
640,district,,Dr Kenneth Kaunda,2015,23.7
639,district,,Dr Ruth Segomotsi Mompati,2015,6.2
EC,province,,Eastern Cape,2015,10.7
832,district,,Ehlanzeni,2015,11.8
797,district,,Ekurhuleni,2015,27.9
595,district,,eThekwini,2015,19.2
420,district,,Fezile Dabi,2015,23.7
309,district,,Frances Baard,2015,14.3
FS,province,,Free State,2015,16.2
3453,district,,Garden Route,2015,17.2
GT,province,,Gauteng,2015,27.7
830,district,,Gert Sibande,2015,16.1
3065,district,,Harry Gwala,2015,6.3
529,district,,iLembe,2015,7.3
214,district,,Joe Gqabi,2015,5
345,district,,John Taolo Gaetsewe,2015,12.2
3084,district,,King Cetshwayo,2015,12.5
KZN,province,,KwaZulu-Natal,2015,11.9
418,district,,Lejweleputswa,2015,18.1
LIM,province,,Limpopo,2015,8.5
494,district,,Mangaung,2015,24.8
933,district,,Mopani,2015,9.4
MP,province,,Mpumalanga,2015,15.5
306,district,,Namakwa,2015,21.5
293,district,,Nelson Mandela Bay,2015,22.6
638,district,,Ngaka Modiri Molema,2015,8.1
831,district,,Nkangala,2015,13.2
NW,province,,North West,2015,15
NC,province,,Northern Cape,2015,17.6
215,district,,O.R.Tambo,2015,4.6
103,district,,Overberg,2015,20.3
307,district,,Pixley ka Seme,2015,15.8
1014,district,,Sarah Baartman,2015,14.6
742,district,,Sedibeng,2015,19.4
947,district,,Sekhukhune,2015,7.1
ZA,country,,South Africa,2015,17.5
9361,district,,Thabo Mofutsanyana,2015,6.1
521,district,,Ugu,2015,7.3
522,district,,Umgungundlovu,2015,15.7
527,district,,Umkhanyakude,2015,3.9
524,district,,Umzinyathi,2015,7
523,district,,Uthukela,2015,5
934,district,,Vhembe,2015,7.2
936,district,,Waterberg,2015,16.7
101,district,,West Coast,2015,29
748,district,,West Rand,2015,24.4
WC,province,,Western Cape,2015,24.2
416,district,,Xhariep,2015,9.7
308,district,,Z F Mgcawu,2015,16.5
526,district,,Zululand,2015,6.5
244,district,,Alfred Nzo,2017,3.4
525,district,,Amajuba,2017,3.1
212,district,,Amathole,2017,5.2
637,district,,Bojanalam,2017,25.3
292,district,,Buffalo City,2017,33.8
102,district,,Cape Winelands,2017,11.4
935,district,,Capricorn,2017,8.1
105,district,,Central Karoo,2017,9
213,district,,Chris Hani,2017,5.1
191,district,,City of Cape Town,2017,17.3
798,district,,City of Johannesburg,2017,16.4
799,district,,City of Tshwane,2017,36
640,district,,Dr Kenneth Kaunda,2017,26.8
639,district,,Dr Ruth Segomotsi Mompati,2017,7
EC,province,,Eastern Cape,2017,9
832,district,,Ehlanzeni,2017,5.3
797,district,,Ekurhuleni,2017,18.8
595,district,,eThekwini,2017,12.6
420,district,,Fezile Dabi,2017,28.9
309,district,,Frances Baard,2017,18.1
FS,province,,Free State,2017,14.7
3453,district,,Garden Route,2017,24.9
GT,province,,Gauteng,2017,19.7
830,district,,Gert Sibande,2017,21.4
3065,district,,Harry Gwala,2017,13.4
529,district,,iLembe,2017,5.8
214,district,,Joe Gqabi,2017,4.1
345,district,,John Taolo Gaetsewe,2017,9.1
3084,district,,King Cetshwayo,2017,5.9
KZN,province,,KwaZulu-Natal,2017,8.5
418,district,,Lejweleputswa,2017,6.5
LIM,province,,Limpopo,2017,10.8
494,district,,Mangaung,2017,22.7
933,district,,Mopani,2017,9.5
MP,province,,Mpumalanga,2017,13.6
306,district,,Namakwa,2017,6.4
293,district,,Nelson Mandela Bay,2017,16.7
638,district,,Ngaka Modiri Molema,2017,7.9
831,district,,Nkangala,2017,16.7
NW,province,,North West,2017,17.1
NC,province,,Northern Cape,2017,15.8
215,district,,O.R.Tambo,2017,4.3
103,district,,Overberg,2017,17.8
307,district,,Pixley ka Seme,2017,25.7
1014,district,,Sarah Baartman,2017,15.1
742,district,,Sedibeng,2017,7.9
947,district,,Sekhukhune,2017,10.1
ZA,country,,South Africa,2017,14.1
9361,district,,Thabo Mofutsanyana,2017,8
521,district,,Ugu,2017,4.6
522,district,,Umgungundlovu,2017,7.5
527,district,,Umkhanyakude,2017,3.4
524,district,,Umzinyathi,2017,4.6
523,district,,Uthukela,2017,1.8
934,district,,Vhembe,2017,11.6
936,district,,Waterberg,2017,16
101,district,,West Coast,2017,22.6
748,district,,West Rand,2017,17.5
WC,province,,Western Cape,2017,17.4
416,district,,Xhariep,2017,7.8
308,district,,Z F Mgcawu,2017,18.3
526,district,,Zululand,2017,5
244,district,,Alfred Nzo,2018,3.8
525,district,,Amajuba,2018,7.4
212,district,,Amathole,2018,4.3
637,district,,Bojanalam,2018,14
292,district,,Buffalo City,2018,22.4
102,district,,Cape Winelands,2018,16.4
935,district,,Capricorn,2018,8.3
105,district,,Central Karoo,2018,12.5
213,district,,Chris Hani,2018,4.9
191,district,,City of Cape Town,2018,22.2
798,district,,City of Johannesburg,2018,22.2
799,district,,City of Tshwane,2018,30.6
640,district,,Dr Kenneth Kaunda,2018,12.8
639,district,,Dr Ruth Segomotsi Mompati,2018,7.3
EC,province,,Eastern Cape,2018,9.8
832,district,,Ehlanzeni,2018,10.2
797,district,,Ekurhuleni,2018,23.8
595,district,,eThekwini,2018,18.9
420,district,,Fezile Dabi,2018,13.2
309,district,,Frances Baard,2018,15.7
FS,province,,Free State,2018,13.5
3453,district,,Garden Route,2018,16.5
GT,province,,Gauteng,2018,24.6
830,district,,Gert Sibande,2018,13.1
3065,district,,Harry Gwala,2018,5.6
529,district,,iLembe,2018,8.6
214,district,,Joe Gqabi,2018,5
345,district,,John Taolo Gaetsewe,2018,13.9
3084,district,,King Cetshwayo,2018,8.7
KZN,province,,KwaZulu-Natal,2018,11.2
418,district,,Lejweleputswa,2018,12
LIM,province,,Limpopo,2018,7.2
494,district,,Mangaung,2018,20
933,district,,Mopani,2018,6.8
MP,province,,Mpumalanga,2018,12.5
306,district,,Namakwa,2018,17.5
293,district,,Nelson Mandela Bay,2018,20.4
638,district,,Ngaka Modiri Molema,2018,9.7
831,district,,Nkangala,2018,14.8
NW,province,,North West,2018,11.9
NC,province,,Northern Cape,2018,15.1
215,district,,O.R.Tambo,2018,4.2
103,district,,Overberg,2018,16.4
307,district,,Pixley ka Seme,2018,13.1
1014,district,,Sarah Baartman,2018,8.8
742,district,,Sedibeng,2018,20.8
947,district,,Sekhukhune,2018,5.6
ZA,country,,South Africa,2018,15.4
9361,district,,Thabo Mofutsanyana,2018,9.2
521,district,,Ugu,2018,7.1
522,district,,Umgungundlovu,2018,11
527,district,,Umkhanyakude,2018,5
524,district,,Umzinyathi,2018,5.4
523,district,,Uthukela,2018,6.4
934,district,,Vhembe,2018,6.6
936,district,,Waterberg,2018,9.1
101,district,,West Coast,2018,17.3
748,district,,West Rand,2018,24.1
WC,province,,Western Cape,2018,20.1
416,district,,Xhariep,2018,10.5
308,district,,Z F Mgcawu,2018,15.8
526,district,,Zululand,2018,5.2
